id	kategorija	pitanje	dohvaceni_ids	dohvaceni_ids	dohvaceni_ids	dohvaceni_ids	dohvaceni_ids	dohvaceni_ids	dohvaceni_ids	dohvaceni_ids	dohvaceni_ids	odgovor	t_dohvat	t_generiranje
T01	izravni	Koliko sati tjedno iznosi puno radno vrijeme?	Zakon_o_radu_clanak_74	Zakon_o_radu_clanak_73	Zakon_o_radu_clanak_66	Zakon_o_radu_clanak_61	Zakon_o_radu_clanak_18_dio_2	Zakon_o_radu_clanak_62	Zakon_o_radu_clanak_67	Zakon_o_radu_clanak_122	Zakon_o_radu_clanak_75	Prema ?lanku 61. Zakona, puno radno vrijeme radnika ne može biti duže od ?etrdeset sati tjedno. Ako zakonom, kolektivnim ugovorom, sporazumom sklopljenim izme?u radni?kog vije?a i poslodavca ili ugovorom o radu nije odre?eno radno vrijeme, smatra se da je puno radno vrijeme ?etrdeset sati tjedno.	0.1327231	0.8460418
T02	izravni	Koliko maksimalno radnih sati smije imati radnik u jednom tjednu?	Zakon_o_radu_clanak_66	Zakon_o_radu_clanak_73	Zakon_o_radu_clanak_74	Zakon_o_radu_clanak_62	Zakon_o_radu_clanak_18_dio_2	Zakon_o_radu_clanak_61	Zakon_o_radu_clanak_65	Zakon_o_radu_clanak_122	Zakon_o_radu_clanak_67	Na temelju prona?enih ?lanaka zakona, radnik koji radi u nejednako raspore?enom radnom vremenu može imati maksimalno 60 sati radnih sati u jednom tjednu, uklju?uju?i prekovremeni rad, ako je tako ugovoreno kolektivnim ugovorom (?lanak 66. stavak 3.). Me?utim, ako nije ugovoreno kolektivnim ugovorom, radnik može imati maksimalno 50 sati radnih sati u jednom tjednu, uklju?uju?i prekovremeni rad (?lanak 66. stavak 2.).	0.073143	36.9649851
T03	izravni	Što je nepuno radno vrijeme?	Zakon_o_radu_clanak_62	Zakon_o_radu_clanak_66	Zakon_o_radu_clanak_18_dio_2	Zakon_o_radu_clanak_61	Zakon_o_radu_clanak_67	Zakon_o_radu_clanak_65	Zakon_o_radu_clanak_60	Zakon_o_radu_clanak_71	Zakon_o_radu_clanak_18_dio_4	Nepuno radno vrijeme radnika je svako radno vrijeme kra?e od punog radnog vremena. Prema ?lanku 62. Zakona o radu, radnik ne može kod više poslodavaca raditi s ukupnim radnim vremenom dužim od 40 sati tjedno, osim u slu?aju iz ?lanka 18.a ovoga Zakona. Tako?er, radnik je dužan obavijestiti poslodavca o sklopljenim ugovorima o radu za nepuno radno vrijeme s drugim poslodavcem, odnosno drugim poslodavcima.	0.0637569	27.1970333
T04	izravni	Koliko najduže smije trajati prekovremeni rad?	Zakon_o_radu_clanak_67	Zakon_o_radu_clanak_66	Zakon_o_radu_clanak_122	Zakon_o_radu_clanak_74	Zakon_o_radu_clanak_130	Zakon_o_radu_clanak_73	Zakon_o_radu_clanak_83	Zakon_o_radu_clanak_12	Zakon_o_radu_clanak_128	Prema ?lanku 67. Zakona o radu, prekovremeni rad može trajati najviše ?etrdeset osam sati tjedno. Me?utim, u iznimnim slu?ajevima, kolektivnim ugovorom se može odrediti da prekovremeni rad može trajati duže od ?etrdeset osam sati tjedno, ali ne duže od pedeset šest sati tjedno, odnosno šezdeset sati tjedno ako poslodavac posluje sezonski.	0.0727358	47.8729645
T05	izravni	Ima li radnik pravo na stanku tijekom radnog dana?	Zakon_o_radu_clanak_18_dio_2	Zakon_o_radu_clanak_62	Zakon_o_radu_clanak_18_dio_4	Zakon_o_radu_clanak_94	Zakon_o_radu_clanak_71	Zakon_o_radu_clanak_86	Zakon_o_radu_clanak_89	Zakon_o_radu_clanak_7	Zakon_o_radu_clanak_87	Na temelju prona?enih ?lanaka zakona, ne mogu odgovoriti na ovo pitanje.	0.0615138	47.6803598
T06	izravni	Koliko traje dnevni odmor radnika?	Zakon_o_radu_clanak_74	Zakon_o_radu_clanak_73	Zakon_o_radu_clanak_83	Zakon_o_radu_clanak_75	Zakon_o_radu_clanak_85	Zakon_o_radu_clanak_77	Zakon_o_radu_clanak_66	Zakon_o_radu_clanak_81	Zakon_o_radu_clanak_82	Prema ?lanku 74. Zakona, radnik ima pravo na dnevni odmor od najmanje dvanaest sati neprekidno tijekom svakog vremenskog razdoblja od dvadeset ?etiri sata. Iznimno, poslodavac je dužan punoljetnom radniku koji radi na sezonskim poslovima, a koji se obavljaju u dva navrata tijekom radnog dana, osigurati pravo na dnevni odmor u trajanju od najmanje osam sati neprekidno.	0.0543111	8.7719551
T07	izravni	Koliko traje tjedni odmor?	Zakon_o_radu_clanak_83	Zakon_o_radu_clanak_74	Zakon_o_radu_clanak_85	Zakon_o_radu_clanak_75	Zakon_o_radu_clanak_73	Zakon_o_radu_clanak_84	Zakon_o_radu_clanak_77	Zakon_o_radu_clanak_78	Zakon_o_radu_clanak_93	"Prema ?lanku 75. Zakona o radu, radnik ima pravo na tjedni odmor u neprekidnom trajanju od najmanje dvadeset ?etiri sata, kojem se pribraja dnevni odmor iz ?lanka 74. ovoga Zakona. Maloljetnik ima pravo na tjedni odmor u neprekidnom trajanju od najmanje ?etrdeset osam sati.

U slu?aju da radnik ne može koristiti odmor u trajanju iz stavaka 1. i 2. ovoga ?lanka, mora mu se za svaki radni tjedan omogu?iti korištenje zamjenskog tjednog odmora odmah po okon?anju razdoblja koje je proveo na radu, zbog kojeg tjedni odmor nije koristio ili ga je koristio u kra?em trajanju.

Iznimno, radnicima koji zbog obavljanja posla u razli?itim smjenama ili objektivno nužnih tehni?kih razloga ili zbog organizacije rada ne mogu iskoristiti odmor u trajanju iz stavka 1. ovoga ?lanka, pravo na tjedni odmor može biti odre?eno u neprekidnom trajanju od najmanje dvadeset ?etiri sata, kojem se ne pribraja dnevni odmor iz ?lanka 74. ovoga Zakona."	0.0433418	28.3111276
T08	izravni	Koliko najmanje traje godišnji odmor?	Zakon_o_radu_clanak_83	Zakon_o_radu_clanak_85	Zakon_o_radu_clanak_75	Zakon_o_radu_clanak_74	Zakon_o_radu_clanak_84	Zakon_o_radu_clanak_76	Zakon_o_radu_clanak_77	Zakon_o_radu_clanak_81	Zakon_o_radu_clanak_78	Na temelju prona?enih ?lanaka zakona, radnik ima pravo na godišnji odmor od najmanje ?etiri tjedna, a maloljetnik i radnik koji radi na poslovima na kojima nije mogu?e zaštititi radnika od štetnih utjecaja u trajanju od najmanje pet tjedana.	0.0714799	29.6367438
T09	izravni	Ima li radnik pravo na naknadu za neiskorišteni godišnji odmor?	Zakon_o_radu_clanak_81	Zakon_o_radu_clanak_82	Zakon_o_radu_clanak_76	Zakon_o_radu_clanak_93	Zakon_o_radu_clanak_87	Zakon_o_radu_clanak_83	Zakon_o_radu_clanak_85	Zakon_o_radu_clanak_77	Zakon_o_radu_clanak_78	"Da, radnik ima pravo na naknadu za neiskorišteni godišnji odmor. Prema ?lanku 82. Zakona o radu, u slu?aju prestanka ugovora o radu poslodavac je dužan radniku koji nije iskoristio godišnji odmor isplatiti naknadu umjesto korištenja godišnjeg odmora. Naknada se odre?uje razmjerno broju dana neiskorištenoga godišnjeg odmora.

Prema ?lanku 93. Zakona o radu, poslodavac je dužan radniku dostaviti obra?un iz kojeg je vidljivo kako su iznosi utvr?eni za naknadu za neiskorišteni godišnji odmor. Obra?un mora sadržavati ukupan iznos pla?e, naknade pla?e, otpremnine ili naknade za neiskorišteni godišnji odmor u propisanom sadržaju.

Stoga, ako radnik nije iskoristio godišnji odmor ili je prestao radni odnos, ima pravo na naknadu za neiskorišteni godišnji odmor, koja ?e mu biti ispla?ena od strane poslodavca."	0.0544293	28.1508323
T10	izravni	Koliko dana pla?enog dopusta pripada radniku?	Zakon_o_radu_clanak_73	Zakon_o_radu_clanak_74	Zakon_o_radu_clanak_87	Zakon_o_radu_clanak_130	Zakon_o_radu_clanak_66	Zakon_o_radu_clanak_18	Zakon_o_radu_clanak_81	Zakon_o_radu_clanak_83	Zakon_o_radu_clanak_77	"Na temelju prona?enih ?lanaka zakona, radnik ima pravo na nepla?eni dopust u ukupnom trajanju od pet radnih dana godišnje za pružanje osobne skrbi. Ovo pravo se odnosi na skrb koju radnik pruža ?lanu uže obitelji ili osobi koja živi u istom ku?anstvu i koja joj je potrebna zbog ozbiljnog zdravstvenog razloga. 

Zbog toga, radnik ima pravo na pla?eni dopust u trajanju od pet radnih dana, koji se odnosi na njegovu pla?u za taj period. Pla?e za taj period radnik ne?e primati, ali ?e biti pla?en naknadno nakon što prethodno odobri dopust."	0.062957	32.0322287
